iter	Passed	Remaining
407	4395	6377
408	4406	6368
409	4418	6357
410	4427	6345
411	4438	6334
412	4449	6324
413	4460	6312
414	4469	6300
415	4479	6288
416	4489	6276
417	4500	6265
418	4510	6254
419	4521	6243
420	4532	6233
421	4542	6222
422	4552	6210
423	4563	6199
424	4572	6186
425	4582	6174
426	4591	6161
427	4602	6151
428	4614	6141
429	4625	6132
430	4637	6122
431	4649	6113
432	4661	6104
433	4674	6096
434	4686	6086
435	4698	6077
436	4710	6069
437	4722	6059
438	4733	6049
439	4745	6039
440	4757	6030
441	4767	6018
442	4777	6007
443	4786	5994
444	4796	5982
445	4806	5970
446	4815	5957
447	4825	5945
448	4834	5932
449	4846	5923
450	4859	5915
451	4871	5906
452	4883	5896
453	4895	5887
454	4907	5878
455	4918	5868
456	4930	5858
457	4942	5848
458	4954	5839
459	4965	5829
460	4979	5821
461	4991	5812
462	5003	5802
463	5012	5790
464	5022	5778
465	5031	5765
466	5041	5754
467	5051	5742
468	5060	5729
469	5071	5718
470	5081	5706
471	5091	5695
472	5101	5683
473	5110	5671
474	5119	5658
475	5129	5646
476	5139	5635
477	5150	5624
478	5160	5612
479	5170	5601
480	5181	5591
481	5193	5581
482	5205	5572
483	5217	5562
484	5228	5552
485	5241	5543
486	5254	5534
487	5265	5524
488	5277	5515
489	5289	5505
490	5301	5496
491	5313	5486
492	5325	5476
493	5337	5467
494	5347	5455
495	5357	5444
496	5367	5432
497	5378	5421
498	5388	5409
499	5398	5398
500	5409	5387
501	5418	5375
502	5429	5364
503	5439	5352
504	5449	5341
505	5459	5330
506	5469	5318
507	5480	5307
508	5490	5296
509	5500	5285
510	5512	5275
511	5525	5266
512	5536	5255
513	5547	5245
514	5559	5235
515	5571	5226
516	5583	5216
517	5595	5206
518	5607	5196
519	5620	5188
520	5634	5179
521	5646	5170
522	5657	5160
523	5669	5149
524	5679	5138
525	5691	5129
526	5703	5119
527	5713	5107
528	5724	5096
529	5735	5086
530	5746	5075
531	5756	5064
532	5768	5053
533	5778	5042
534	5790	5032
535	5801	5021
536	5811	5010
537	5823	5000
538	5834	4989
539	5843	4978
540	5854	4966
541	5863	4955
542	5874	4943
543	5884	4932
544	5897	4923
545	5909	4913
546	5924	4906
547	5937	4897
548	5950	4888
549	5964	4879
550	5976	4870
551	5989	4860
552	6002	4852
553	6016	4843
554	6029	4834
555	6041	4824
556	6053	4814
557	6064	4803
558	6075	4793
559	6086	4781
560	6096	4770
561	6105	4758
562	6114	4746
563	6124	4734
564	6134	4722
565	6144	4711
566	6155	4701
567	6168	4691
568	6179	4681
569	6191	4671
570	6202	4660
571	6215	4650
572	6227	4640
573	6238	4630
574	6251	4620
575	6263	4610
576	6274	4600
577	6286	4589
578	6298	4579
579	6309	4568
580	6318	4556
581	6328	4544
582	6337	4533
583	6347	4521
584	6358	4510
585	6367	4498
586	6377	4487
587	6387	4475
588	6396	4463
589	6407	4452
590	6416	4440
591	6426	4428
592	6436	4417
593	6445	4405
594	6456	4394
595	6467	4384
596	6481	4375
597	6493	4365
598	6506	4355
599	6519	4346
600	6532	4336
601	6545	4327
602	6558	4317
603	6570	4308
604	6583	4298
